backend,model,no,sektor,kl,sub_indikator,gold,pred,benar,status,confidence,summary_pred,source_url_pred,url_dari_search,n_search,latency_s,in_tok,out_tok,queries,error,summary_gold
tavily,watsonx-qwen3-30b-a3b-instruct-2507,7,Infrastruktur,KEMENTERIAN PEKERJAAN UMUM,PP 02.12 - Efisiensi pemanfaatan air irigasi,True,False,False,OK,tinggi,"Tidak ditemukan bukti pelaksanaan kegiatan pemerintah untuk indikator efisiensi pemanfaatan air irigasi dengan target 0,34 USD/m3 pada tahun 2025. Laporan kinerja dari Dinas PUPR daerah menyebutkan aspek perencanaan dan pengelolaan irigasi secara umum, namun tidak menyertakan capaian kuantitatif atau data efisiensi pemanfaatan air dalam satuan USD/m3. Tidak ada dokumen resmi Kementerian Pekerjaan Umum (pupr.go.id atau kemenpu.go.id) yang melaporkan capaian kegiatan teknis atau fisik terkait indikator ini pada 2025. Hanya terdapat dokumen rencana strategis dan kebijakan umum.",,False,3,17.17,6046,390,laporan kinerja 2025 Kementerian Pekerjaan Umum efisiensi pemanfaatan air irigasi | LAKIP 2025 Kementerian Pekerjaan Umum efisiensi pemanfaatan air irigasi [site:kemenpu.go.id] | Kementerian Pekerjaan Umum efisiensi pemanfaatan air irigasi 2025 capaian [site:pupr.go.id],,"Program berjalan, ditandai dengan terealisasinya pembangunan dan rehabilitasi jaringan irigasi oleh Kementerian PU sepanjang Tahun Anggaran 2025 dengan luas 589.605,80 hektare, serta terkonfirmasinya pelaksanaan pekerjaan fisik rehabilitasi jaringan irigasi di daerah melalui publikasi resmi Kementerian PU sepanjang 2025 (misalnya rehabilitasi tahap II DI Tingal di Temanggung yang progres fisiknya mencapai 60% per akhir September 2025). Target angka indikator sendiri, yaitu 0,34 USD/m³, memang tercantum sebagai sasaran kerja Kementerian PU tahun 2025 di bidang sumber daya air. Angka realisasi efisiensi pemanfaatan air irigasi tahun 2025 dalam satuan USD/m³ belum dipublikasikan, karena Laporan Kinerja Ditjen SDA terbaru yang terbit masih edisi Tahun 2024."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,11,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.17 - Produksi vanili,False,True,False,OK,tinggi,"Program pengembangan vanili oleh Kementerian Pertanian berjalan pada tahun 2025, ditandai dengan realisasi produksi vanili sebesar 1.286 ton (81,29% dari target 1.582 ton) yang dilaporkan dalam Laporan Kinerja Direktorat Jenderal Perkebunan 2025. Kegiatan meliputi pembinaan, peningkatan produksi melalui benih unggul, dan sinergi dengan TNI AL dalam program vanili jalesve. Realisasi ini tercantum dalam dokumen resmi yang diterbitkan awal 2026, yang melaporkan pelaksanaan tahun 2025.",https://ditjenbun.pertanian.go.id/template/uploads/2026/03/LAKIN-DITJENBUN-2025.pdf,True,3,14.59,7788,380,laporan kinerja 2025 KEMENTAN produksi vanili | produksi vanili 2025 Kementan realisasi [site:ditjenbun.pertanian.go.id] | LAKIP 2025 Kementan produksi vanili realisasi 1286 ton [site:ditjenbun.pertanian.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi vanili berjalan pada Tahun 2025. Realisasi kegiatan pengembangan kawasan tanaman semusim dan rempah Direktorat Jenderal Perkebunan Tahun 2025 diarahkan ke pala, kakao, dan tebu, tanpa vanili. Kegiatan pemerintah bertanggal 2025 yang menyinggung vanili hanya ditemukan pada balai perlindungan perkebunan tingkat provinsi, berupa pelatihan agens pengendali hayati yang sasarannya komoditas lain, sehingga tidak dapat dihitung sebagai intervensi terhadap indikator ini. Angka realisasi produksi vanili Tahun 2025 juga belum dipublikasikan."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,12,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.18 - Persentase produksi komoditas pertanian organik terhadap produksi total komoditas pertanian,False,False,True,OK,tinggi,"Tidak ditemukan bukti pelaksanaan kegiatan pemerintah untuk meningkatkan produksi komoditas pertanian organik pada tahun 2025 dalam dokumen LAKIP 2025 Kementerian Pertanian atau sumber resmi lainnya. Meskipun terdapat referensi terkait survei statistik pertanian organik 2025 dan program desa pertanian organik di dokumen 2024, tidak ada laporan capaian fisik atau pelaksanaan kegiatan teknis tahun 2025 yang dapat diverifikasi. Hanya terdapat rencana dan kajian, bukan pelaksanaan nyata.",,False,3,83.44,7016,332,laporan kinerja 2025 Kementerian Pertanian pangan organik produksi organik pertanian organik | LAKIP 2025 Kementerian Pertanian produksi komoditas organik persentase pertanian organik | LAKIP 2025 Kementerian Pertanian program pertanian organik capaian produksi organik [site:pertanian.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi komoditas pertanian organik berjalan pada Tahun 2025. Kegiatan yang ditemukan masih pada tahap penyiapan kebijakan, yaitu diskusi kelompok terarah oleh Badan Perakitan dan Modernisasi Pertanian Kementerian Pertanian pada November 2025, yang justru menyimpulkan perlunya pembentukan Otoritas Kompeten Pangan Organik, reorientasi kebijakan, dan revisi peraturan menteri agar selaras dengan SNI 6729:2025 dan RPJMN 2025-2029. Angka persentase produksi pertanian organik Tahun 2025 belum dipublikasikan."
tavily,watsonx-qwen3-30b-a3b-instruct-2507,44,Sosial,KEMENTERIAN SOSIAL,KP 06.03.02 - Jumlah penerima manfaat Kartu Usaha Afirmatif yang berusaha atau bekerja sebagai buruh/karyawan,False,False,True,OK,tinggi,"Tidak ditemukan bukti pelaksanaan fisik, capaian, atau kegiatan teknis di lapangan untuk Program Kartu Usaha Afirmatif oleh Kementerian Sosial pada tahun 2025. Dokumen yang ditemukan berupa rencana strategis, narasi RPJMN 2025-2029, dan dokumen perencanaan, tetapi tidak menyertakan laporan pelaksanaan atau capaian tahunan 2025. Tidak ada sumber resmi yang melaporkan realisasi kegiatan atau jumlah penerima manfaat pada tahun 2025.",,False,3,13.46,7751,329,laporan kinerja 2025 KEMENTERIAN SOSIAL usaha afirmatif penerima manfaat | LAKIP 2025 KEMENTERIAN SOSIAL usaha afirmatif penerima manfaat [site:kemensos.go.id] | Kementerian Sosial 2025 program Kartu Usaha Afirmatif penerima manfaat capaian [site:bappenas.go.id],,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti pelaksanaan pada 2025. Saat ini, masih berlangsungnya tahap perencanaan dan penyiapan implementasi hingga awal 2026. Rapat Tingkat Menteri yang dipimpin Menko Pemberdayaan Masyarakat pada 26 September 2025 masih membahas perencanaan Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif sebagai bagian dari Program Hasil Terbaik Cepat, dengan Kemensos menegaskan basis data DTSEN dan Kementerian Koperasi dan UMKM menyiapkan platform SAPA UMKM. Pada 12 Februari 2026, BPKP masih melakukan kajian dan koordinasi lintas perangkat daerah untuk mendukung kesiapan implementasi Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif di daerah. Kartu Usaha Afirmatif juga baru ditetapkan sebagai salah satu Proyek Strategis Nasional baru dalam RKP 2026. Tidak ditemukan publikasi resmi yang menunjukkan adanya penerima manfaat KUA pada 2025, sehingga target 1.000.000 jiwa tahun 2025 belum terverifikasi terlaksana."
tavily,gemma-4-26B-A4B-it,1,Kesehatan,KEMENTERIAN KESEHATAN,KP 02.12.08 - Kabupaten/kota yang mendeklarasikan 5 Pilar STBM,True,True,True,OK,tinggi,"Program pelaksanaan STBM 5 pilar berjalan pada tahun 2025, ditandai dengan adanya kegiatan pembinaan oleh Dinas Kesehatan Provinsi (seperti di Papua), pelatihan implementasi STBM, serta kegiatan verifikasi lapangan oleh tim Kementerian Kesehatan di tingkat kabupaten/kota (seperti verifikasi di Kota Malang pada Oktober 2025) untuk memastikan capaian pilar sanitasi.",https://malangkota.go.id/2025/10/01/verifikator-stbm-5-pilar-kunjungi-kota-malang,True,1,4.2,2063,183,laporan kinerja 2025 Kementerian Kesehatan STBM 5 pilar kabupaten kota,,"Program berjalan, ditandai dengan penetapan alokasi anggaran daerah untuk survei verifikasi 5 pilar dan deklarasi level provinsi/kabupaten/kota."
tavily,gemma-4-26B-A4B-it,2,Pertahanan,KEMENTERIAN LUAR NEGERI,KP 02.09.03 - Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional,True,True,True,OK,tinggi,Program berjalan melalui Direktorat Kerja Sama Pembangunan Internasional (KSPI) Kementerian Luar Negeri. Bukti pelaksanaan tahun 2025 terlihat pada dokumen Perjanjian Kinerja (PK) KSPI 2025 dan Renstra KSPI 2025-2029 yang menetapkan target indikator sebesar 20% untuk tahun 2025. Kegiatan mencakup penguatan arah kebijakan pemberian kerja sama pembangunan internasional dan penyusunan rekomendasi kebijakan yang disinkronkan dengan prioritas nasional.,https://kemlu.go.id/files/repositori/65403/1746425798681857c6c477b_PK_KSPI_rev.pdf,True,2,8.0,4059,269,"laporan kinerja 2025 Kementerian Luar Negeri kerja sama pembangunan internasional prioritas nasional | site:kemlu.go.id ""persentase kebijakan di bidang kerja sama pembangunan internasional"" 2025",,"Program berjalan, ditandai dengan pelaksanaan sejumlah aktivitas konkret kerja sama pembangunan internasional oleh Kemlu sepanjang Tahun 2025, seperti pertemuan bilateral dan kesepakatan kerja sama dengan negara mitra di kawasan Pasifik, penyaluran bantuan pangan dan kemanusiaan ke Palestina yang diumumkan langsung oleh Menlu/Wamenlu, serta penyusunan kebijakan turunan (Grand Design dan aturan hibah) yang diselaraskan dengan RPJMN 2025-2029. Aktivitas ini tercatat lewat rilis resmi Kemlu maupun Sekretariat Negara, meskipun angka persentase realisasi kebijakan sesuai prioritas nasional untuk Tahun 2025 belum dipublikasikan secara spesifik."
tavily,gemma-4-26B-A4B-it,3,Industri,KEMENTERIAN LUAR NEGERI,"KP 02.09.04 - Persentase keberhasilan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi terutama pada sektor prioritas",True,True,True,OK,tinggi,"Program diplomasi ekonomi berjalan pada tahun 2025, sebagaimana tercermin dalam dokumen Renstra 2025-2029 dan draf Laporan Kinerja (LKj) 2025 Kementerian Luar Negeri. Implementasi nyata mencakup promosi perdagangan dan investasi melalui rangkaian kunjungan KJRI ke KADIN di wilayah akreditasi serta penguatan diplomasi ekonomi di sektor prioritas (seperti pangan dan energi) untuk mencapai target indikator keberhasilan promosi dan kesepakatan diplomasi ekonomi.",https://kemlu.go.id/files/repositori/83703/177803416769faa5f717ed8_LKj_PI_2025.pdf,True,3,12.9,6448,304,"laporan kinerja 2025 Kementerian Luar Negeri diplomasi ekonomi sektor prioritas | rencana kerja 2025 Kementerian Luar Negeri diplomasi ekonomi sektor prioritas | site:kemlu.go.id ""diplomasi ekonomi"" 2025 promosi sektor prioritas",,"Program berjalan, ditandai dengan penetapan oleh Kemenlu melalui Ditjen Hubungan Ekonomi dan Kerja Sama Pembangunan (HEKSP) terkait indikator ini sebagai indikator kinerja utama dan melaporkan capaiannya dalam Laporan Kinerja Tahun 2025. Realisasi tercatat 93,75 persen terhadap target 80 persen, dengan capaian 117,19 persen, berasal dari 7 norma dan 4 kesepakatan yang terealisasi dari target 8 norma dan 4 kesepakatan. Pelaksanaannya didukung partisipasi Indonesia pada berbagai forum seperti Sidang UNIDO ke-21, KTM UNCTAD ke-16, WTO CTE, WIPO SCCR-47, dan Codex Alimentarius sepanjang 2025."
tavily,gemma-4-26B-A4B-it,4,Sosial,KEMENTERIAN LUAR NEGERI,KP 07.16.02 - Indeks Diplomasi Perlindungan WNI di Luar Negeri,True,True,True,OK,tinggi,"Program perlindungan WNI berjalan sepanjang tahun 2025, ditandai dengan operasionalisasi layanan digital 'Peduli WNI' oleh Direktorat Pelindungan WNI Kementerian Luar Negeri yang mencakup pengelolaan pengaduan dan bantuan hukum bagi WNI di luar negeri. Dokumen regulasi (Permenlu No. 10 Tahun 2025) juga mengonfirmasi bahwa peningkatan pelindungan WNI merupakan bagian dari implementasi visi misi Presiden dalam kerangka RPJMN.",https://peduliwni.kemlu.go.id,True,3,10.25,6157,255,"laporan kinerja 2025 Kementerian Luar Negeri Indeks Diplomasi Perlindungan WNI di Luar Negeri | rencana kerja 2025 Kementerian Luar Negeri perlindungan WNI | site:kemlu.go.id ""perlindungan WNI"" 2025",,"Program berjalan, ditandai dengan terlaksananya ketiga jalur pembentuk indeks ini sepanjang Tahun 2025 sesuai Manual Indikator Kinerja Dit. PWNI 2025, yaitu diplomasi di forum internasional, pembentukan kebijakan nasional, dan kampanye penyadaran publik. Di jalur internasional, ASEAN mengadopsi Deklarasi tentang Pemberantasan Kejahatan Siber dan Penipuan Daring pada September 2025, yang disambut Indonesia dalam pertemuan Dewan Masyarakat Politik-Keamanan ASEAN pada rangkaian KTT ASEAN ke-47 di Kuala Lumpur, 26-28 Oktober 2025. Di jalur operasional, Pemerintah memulangkan 554 WNI korban TPPO penipuan daring dari Myawaddy, Myanmar, dalam dua tahap pada 18 dan 19 Maret 2025, dengan pengawalan Tim Pelindungan WNI Kemlu bersama KBRI Bangkok dan Yangon serta Hubinter Polri, dan secara agregat 27.768 WNI dipulangkan dari berbagai situasi krisis sepanjang 2025. Di jalur kebijakan nasional, terbit Kepmenlu Nomor 15 Tahun 2025 tentang Penetapan Perwakilan Pelindungan Terpadu serta Perjanjian Kerja Sama Kemlu dengan BPJS Ketenagakerjaan pada 22 Januari 2025. Layanan Kampanye Penyadaran Publik Dit. PWNI juga terdaftar aktif dengan standar pelayanan resmi di SIPPN Kementerian PANRB."
tavily,gemma-4-26B-A4B-it,5,Pertahanan,KEMENTERIAN PERTAHANAN,KP 02.01.01 - Persentase pemenuhan alutsista,True,True,True,OK,tinggi,"Program pemenuhan alutsista berjalan pada tahun 2025, ditandai dengan adanya Program Modernisasi Alutsista, Nonalutsista, dan Sarpras Pertahanan dalam DIPA Kemhan 2025. Selain itu, telah dilaksanakan Rapat Pimpinan (Rapim) Kemenhan-TNI pada Januari 2025 untuk membahas rencana kerja modernisasi alutsista dan pengembangan kekuatan pertahanan.",https://www.kemhan.go.id/renhan/wp-content/uploads/2026/02/Permenhan-No-19-Tahun-2025-tentang-Penyusunan-RKA.pdf,True,2,9.11,4097,246,laporan kinerja 2025 Kementerian Pertahanan pemenuhan alutsista | rencana kerja 2025 Kementerian Pertahanan pemenuhan alutsista modernisasi,,"Program berjalan, ditandai dengan pelaksanaan sejumlah kegiatan modernisasi dan pemenuhan alutsista oleh Kemhan bersama TNI sepanjang Tahun 2025, seperti uji coba alutsista produksi dalam negeri, kelanjutan program alih teknologi untuk pengadaan kapal selam bersama mitra asing, hingga penambahan alutsista baru untuk memperkuat matra udara, yang dipublikasikan lewat rilis resmi di laman kemhan.go.id."
tavily,gemma-4-26B-A4B-it,6,Pangan,BADAN KARANTINA INDONESIA,KP 02.10.13 - Persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK),True,True,True,OK,sedang,"Terdapat bukti pelaksanaan program melalui Laporan Kinerja Interim Triwulan III Tahun 2025 Badan Karantina Indonesia yang melaporkan akuntabilitas pelaksanaan tugas dan pencapaian indikator kinerja utama. Selain itu, terbitnya berbagai regulasi teknis pada tahun 2025 (seperti Peraturan Badan Karantina Indonesia Nomor 4, 5, dan 10 Tahun 2025) mengenai tindakan karantina di lintas batas dan komoditas wajib periksa menunjukkan adanya aktivitas operasional dan pengawasan wilayah untuk pengendalian HPHK yang sedang berjalan di tahun 2025.",https://id.scribd.com/document/978391500/Laporan-Kinerja-Interm-Barantin-Tw-3-Tahun-2025,True,2,9.05,4181,283,laporan kinerja 2025 Badan Karantina Indonesia persentase wilayah terkendali HPHK | laporan kinerja interim triwulan 2025 Badan Karantina Indonesia HPHK,,"Program berjalan, ditandai dengan terlaksananya kegiatan pemantauan daerah sebar HPHK sepanjang Tahun 2025 oleh unit pelaksana teknis Badan Karantina Indonesia di berbagai wilayah, yang dituntaskan melalui seminar hasil pemantauan tingkat regional dan nasional bersama dinas peternakan provinsi/kabupaten-kota, akademisi, dan pemangku kepentingan terkait (misalnya di Sumatera Barat dan regional Sulawesi). Pelaksanaan ini juga terkonfirmasi dari dokumen anggaran (RKA/DIPA) yang memuat komponen persiapan, pelaksanaan, dan seminar pemantauan daerah sebar HPHK, serta dari Laporan Kinerja Tahun 2025 UPT Barantin yang dipublikasikan di laman resmi dan PPID Barantin, yang memuat indikator temuan dan tindak lanjut HPHK. Angka nasional persentase wilayah terkendali dari HPHK Tahun 2025 sendiri belum ditemukan dipublikasikan."
tavily,gemma-4-26B-A4B-it,7,Infrastruktur,KEMENTERIAN PEKERJAAN UMUM,PP 02.12 - Efisiensi pemanfaatan air irigasi,True,True,True,OK,tinggi,"Program untuk mencapai indikator efisiensi pemanfaatan air irigasi sedang berjalan pada tahun 2025. Bukti pelaksanaan teknis terlihat pada pelaksanaan Program Percepatan Peningkatan Tata Guna Air Irigasi (P3-TGAI) dengan skema Padat Karya yang dilaporkan telah mencapai progres 54,98% di 8.000 lokasi hingga awal Oktober 2025. Selain itu, target efisiensi 0,34 USD/m3 telah ditetapkan dalam dokumen perencanaan dan target proyek infrastruktur tahun 2025 Kementerian PU.",https://www.facebook.com/KemenPU/posts/peringati-hari-pangan-sedunia-2025-kementerian-pu-perkuat-infrastruktur-irigasi-/1227430192753110,True,2,11.35,4247,300,laporan kinerja 2025 Kementerian Pekerjaan Umum efisiensi pemanfaatan air irigasi USD/m3 | Kementerian Pekerjaan Umum program irigasi 2025 efisiensi pemanfaatan air USD/m3,,"Program berjalan, ditandai dengan terealisasinya pembangunan dan rehabilitasi jaringan irigasi oleh Kementerian PU sepanjang Tahun Anggaran 2025 dengan luas 589.605,80 hektare, serta terkonfirmasinya pelaksanaan pekerjaan fisik rehabilitasi jaringan irigasi di daerah melalui publikasi resmi Kementerian PU sepanjang 2025 (misalnya rehabilitasi tahap II DI Tingal di Temanggung yang progres fisiknya mencapai 60% per akhir September 2025). Target angka indikator sendiri, yaitu 0,34 USD/m³, memang tercantum sebagai sasaran kerja Kementerian PU tahun 2025 di bidang sumber daya air. Angka realisasi efisiensi pemanfaatan air irigasi tahun 2025 dalam satuan USD/m³ belum dipublikasikan, karena Laporan Kinerja Ditjen SDA terbaru yang terbit masih edisi Tahun 2024."
tavily,gemma-4-26B-A4B-it,11,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.17 - Produksi vanili,False,True,False,OK,tinggi,"Program produksi vanili berjalan pada tahun 2025, dibuktikan dengan adanya dokumen Laporan Kinerja (LAKIN) Ditjen Perkebunan tahun 2025 yang melaporkan bahwa capaian indikator kinerja produksi vanili tahun 2025 masuk dalam kategori berhasil melalui pengelolaan budidaya, dukungan perbenihan unggul, serta penguatan tata niaga.",https://ditjenbun.pertanian.go.id/template/uploads/2026/03/LAKIN-DITJENBUN-2025.pdf,True,3,10.1,5962,249,"laporan kinerja 2025 Kementerian Pertanian produksi vanili | rencana kerja 2025 Kementerian Pertanian komoditas vanili | site:pertanian.go.id ""vanili"" 2025",,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi vanili berjalan pada Tahun 2025. Realisasi kegiatan pengembangan kawasan tanaman semusim dan rempah Direktorat Jenderal Perkebunan Tahun 2025 diarahkan ke pala, kakao, dan tebu, tanpa vanili. Kegiatan pemerintah bertanggal 2025 yang menyinggung vanili hanya ditemukan pada balai perlindungan perkebunan tingkat provinsi, berupa pelatihan agens pengendali hayati yang sasarannya komoditas lain, sehingga tidak dapat dihitung sebagai intervensi terhadap indikator ini. Angka realisasi produksi vanili Tahun 2025 juga belum dipublikasikan."
tavily,gemma-4-26B-A4B-it,12,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.18 - Persentase produksi komoditas pertanian organik terhadap produksi total komoditas pertanian,False,True,False,OK,sedang,"Terdapat bukti pelaksanaan kegiatan teknis dan pelaporan kinerja di Kementerian Pertanian pada tahun 2025 yang berkaitan dengan sektor organik. Ditemukan dokumen 'Laporan Tahunan Pusat PVTPP Tahun 2025' (Pusat Pengujian Produk Pertanian dan Perkebunan) yang disusun berdasarkan Perjanjian Kinerja Tahun 2025, yang menunjukkan adanya aktivitas operasional lembaga di bawah Kementan untuk mendukung kualitas produk pertanian. Selain itu, terdapat laporan kinerja Direktorat Statistik Tanaman Pangan, Hortikultura, dan Perkebunan TA 2025 yang mengelola data produksi, yang merupakan basis data utama untuk menghitung indikator persentase produksi organik.",https://ppvtpp.setjen.pertanian.go.id/publics/get-media/static/laporan_tahunan/moscs-1772683937/laporan-tahunan-pusat-pvtpp-tahun-2025/get-file/laporan_tahunan_a5c445b9-2327-435a-b91d-ff7df8b0b143.pdf,True,3,12.64,6982,388,"laporan kinerja 2025 Kementerian Pertanian produksi pertanian organik | laporan kinerja 2025 Kementerian Pertanian persentase produksi pertanian organik | site:pertanian.go.id ""pertanian organik"" 2025",,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi komoditas pertanian organik berjalan pada Tahun 2025. Kegiatan yang ditemukan masih pada tahap penyiapan kebijakan, yaitu diskusi kelompok terarah oleh Badan Perakitan dan Modernisasi Pertanian Kementerian Pertanian pada November 2025, yang justru menyimpulkan perlunya pembentukan Otoritas Kompeten Pangan Organik, reorientasi kebijakan, dan revisi peraturan menteri agar selaras dengan SNI 6729:2025 dan RPJMN 2025-2029. Angka persentase produksi pertanian organik Tahun 2025 belum dipublikasikan."
tavily,gemma-4-26B-A4B-it,44,Sosial,KEMENTERIAN SOSIAL,KP 06.03.02 - Jumlah penerima manfaat Kartu Usaha Afirmatif yang berusaha atau bekerja sebagai buruh/karyawan,False,True,False,OK,sedang,"Program Kartu Usaha Afirmatif telah ditetapkan sebagai bagian dari kebijakan perlindungan sosial tahun 2025 berdasarkan arah kebijakan RPJMN 2025-2029. Terdapat bukti bahwa program ini mulai diimplementasikan sebagai bagian dari penataan ulang program perlindungan sosial untuk kelompok masyarakat miskin dan rentan (desil 1-4) pada tahun 2025, dengan pembagian peran antara Kementerian UMKM sebagai pendukung dan Kementerian Sosial sebagai pelaksana teknis untuk kelompok sasaran tertentu.",https://umkm.go.id/arah-kebijakan,True,3,12.85,7222,276,"laporan kinerja 2025 Kementerian Sosial jumlah penerima manfaat Kartu Usaha Afirmatif | rencana kerja 2025 Kementerian Sosial Kartu Usaha Afirmatif target 1.000.000 jiwa | site:kemensos.go.id ""Kartu Usaha Afirmatif"" 2025",,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti pelaksanaan pada 2025. Saat ini, masih berlangsungnya tahap perencanaan dan penyiapan implementasi hingga awal 2026. Rapat Tingkat Menteri yang dipimpin Menko Pemberdayaan Masyarakat pada 26 September 2025 masih membahas perencanaan Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif sebagai bagian dari Program Hasil Terbaik Cepat, dengan Kemensos menegaskan basis data DTSEN dan Kementerian Koperasi dan UMKM menyiapkan platform SAPA UMKM. Pada 12 Februari 2026, BPKP masih melakukan kajian dan koordinasi lintas perangkat daerah untuk mendukung kesiapan implementasi Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif di daerah. Kartu Usaha Afirmatif juga baru ditetapkan sebagai salah satu Proyek Strategis Nasional baru dalam RKP 2026. Tidak ditemukan publikasi resmi yang menunjukkan adanya penerima manfaat KUA pada 2025, sehingga target 1.000.000 jiwa tahun 2025 belum terverifikasi terlaksana."
